sweep_param,sweep_value,decay_factor,large_uncertainty,success_radius,env_obs_noise,env_odom_noise,occlusion_mode,p_visible,mean_streak_len,bearing0_deg,range0,dt,min_sigma_visible,min_odom_noise,found_viable,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes
baseline,,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.802752668042143,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
env_odom_noise,0.0,0.95,1000.0,0.5,0.1,0.0,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12439556281649107,0.676312853422684,-3.11634086973022,0.7504273504273504,0.9666666666666667,0.07989401709401711,0.42357588931918144,0.8,25.5625,0.0,20.0
env_odom_noise,0.044444444444444446,0.95,1000.0,0.5,0.1,0.044444444444444446,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12439556153917075,0.7622002115471386,-2.0426976630390463,0.6207482993197279,0.8886054421768708,0.12784625850340137,0.41804480031132696,0.8,25.75,0.0,20.0
env_odom_noise,0.08888888888888889,0.95,1000.0,0.5,0.1,0.08888888888888889,markov,0.5,6.0,60.0,10.0,0.5,0.004801202261272809,0.01631975090784437,True,0.12383276565799099,0.893330680296616,-1.761193542400565,0.6200657894736842,0.8939144736842105,0.1232197368421053,0.5328440457582474,0.7,25.285714285714285,0.0,20.0
env_odom_noise,0.13333333333333333,0.95,1000.0,0.5,0.1,0.13333333333333333,markov,0.5,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
env_odom_noise,0.17777777777777778,0.95,1000.0,0.5,0.1,0.17777777777777778,markov,0.5,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
env_odom_noise,0.22222222222222224,0.95,1000.0,0.5,0.1,0.22222222222222224,markov,0.5,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
env_odom_noise,0.26666666666666666,0.95,1000.0,0.5,0.1,0.26666666666666666,markov,0.5,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
env_odom_noise,0.3111111111111111,0.95,1000.0,0.5,0.1,0.3111111111111111,markov,0.5,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
env_odom_noise,0.35555555555555557,0.95,1000.0,0.5,0.1,0.35555555555555557,markov,0.5,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
env_odom_noise,0.4,0.95,1000.0,0.5,0.1,0.4,markov,0.5,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
