sweep_param,sweep_value,sigma_visible,odom_noise,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes,viable
baseline,,0.005000000000000002,0.005000000000000002,0.1254494190550108,0.7160867504811409,-2.3128902449242226,0.6215568862275449,0.8940119760479042,0.12163113772455092,0.42429066126545273,0.8333333333333334,24.4,0.0,30.0,True
baseline,,0.005000000000000002,0.006015125180410587,0.1252389073739138,0.7152941943296169,-2.329804926846594,0.636038186157518,0.902744630071599,0.09841718377088304,0.4194025150810679,0.8,23.916666666666668,0.0,30.0,True
baseline,,0.005000000000000002,0.007236346187201891,0.12482191385849241,0.7117431932160804,-2.3389011738533245,0.6542111506524317,0.9074733096085409,0.07551553973902736,0.4143933239082495,0.8,24.125,0.0,30.0,True
baseline,,0.005000000000000002,0.008705505632961245,0.12489971473844404,0.7075048956978949,-2.3305993711446065,0.6698113207547169,0.9097877358490566,0.057600943396226456,0.4172980532050133,0.8,24.333333333333332,0.0,30.0,True
baseline,,0.005000000000000002,0.010472941228206266,0.12489971398399041,0.7059534621388015,-2.3100512234496513,0.6847058823529412,0.9141176470588235,0.042388235294117727,0.4439658150076866,0.8,24.416666666666668,0.0,30.0,True
baseline,,0.005000000000000002,0.012599210498948734,0.12489971382022308,0.7009744159177191,-2.2828700108082507,0.6990632318501171,0.9168618266978923,0.054001405152224846,0.45887507845958075,0.8,24.583333333333332,0.0,30.0,True
baseline,,0.005000000000000002,0.015157165665103976,0.12491416987418537,0.698995690944977,-2.2508995783435646,0.7136204889406287,0.9185098952270081,0.06691059371362063,0.4732460156083107,0.8,24.791666666666668,0.0,30.0,True
baseline,,0.005000000000000002,0.018234449771164334,0.1249141698802617,0.694724248052359,-2.2062193847119067,0.7288528389339514,0.9212050984936269,0.07944774044032454,0.49659212976694106,0.7666666666666667,24.347826086956523,0.0,30.0,True
baseline,,0.005000000000000002,0.021936499593892524,0.12502501136140554,0.6919561738902396,-2.1518119422465767,0.7410611303344867,0.9215686274509803,0.09129250288350643,0.5300995697577794,0.7666666666666667,24.52173913043478,0.0,30.0,True
baseline,,0.005000000000000002,0.026390158215457878,0.1251952880017892,0.6883755762248268,-2.090936572169961,0.7522935779816514,0.9248853211009175,0.09920825688073398,0.5669134760896365,0.7666666666666667,24.73913043478261,0.0,30.0,True
baseline,,0.005000000000000002,0.03174802103936399,0.12485505507001218,0.6842663612795334,-2.0373371533977727,0.7556818181818182,0.9255681818181818,0.10191363636363648,0.5917048782110215,0.7666666666666667,25.08695652173913,0.0,30.0,True
baseline,,0.005000000000000002,0.03819366415641666,0.12478243937410977,0.6733932787845243,-1.9712542918098717,0.7626262626262627,0.9264870931537598,0.10793916947250293,0.6059437274932862,0.7666666666666667,25.565217391304348,0.0,30.0,True
baseline,,0.005000000000000002,0.04594793419988139,0.12469989881568444,0.668094319807209,-1.903009742097103,0.7682926829268293,0.9262749445676275,0.11381773835920184,0.6335165823499361,0.7333333333333333,25.454545454545453,0.0,30.0,True
baseline,,0.005000000000000002,0.055276515198711025,0.12450618717622586,0.6615377792133414,-1.8293886560719832,0.7716794731064764,0.9275521405049396,0.11592733260153687,0.6815431162714958,0.7,25.238095238095237,0.0,30.0,True
baseline,,0.005000000000000002,0.06649903169142302,0.1246845667608654,0.6552497078335281,-1.7540595121785174,0.7737580993520519,0.927645788336933,0.1179123110151189,0.6971567049622536,0.6666666666666666,25.3,0.0,30.0,False
baseline,,0.005000000000000002,0.07999999999999999,0.12421145664411187,0.650553905946604,-1.6803419725781592,0.7764705882352941,0.9288770053475935,0.11939358288770063,0.7571541279554367,0.6666666666666666,25.75,0.0,30.0,False
baseline,,0.006105276500337843,0.005000000000000002,0.12523890306676394,0.7144477766394539,-2.402917914470925,0.6430274135876043,0.9189511323003575,0.07522145411203818,0.41563249031702676,0.8333333333333334,24.56,0.0,30.0,True
baseline,,0.006105276500337843,0.006015125180410587,0.12523890421681433,0.7145741227893547,-2.41051526702319,0.6579261025029798,0.9255065554231228,0.05376734207389744,0.43271775046984357,0.8,23.958333333333332,0.0,30.0,True
baseline,,0.006105276500337843,0.007236346187201891,0.12489971325172249,0.7110516301018481,-2.4161767040742945,0.6733727810650888,0.9284023668639053,0.035424852071005875,0.4216540860633055,0.8,24.208333333333332,0.0,30.0,True
baseline,,0.006105276500337843,0.008705505632961245,0.12489971374078346,0.7077386929606996,-2.4051617461073582,0.6892688679245284,0.9310141509433962,0.030054716981132157,0.43634210228919984,0.8,24.333333333333332,0.0,30.0,True
baseline,,0.006105276500337843,0.010472941228206266,0.12489971238583995,0.7022465169444382,-2.3848590915396164,0.7057444314185228,0.9349355216881594,0.042608909730363465,0.4431522985299428,0.8,24.541666666666668,0.0,30.0,True
baseline,,0.006105276500337843,0.012599210498948734,0.12489971394873646,0.7012047793260505,-2.3544206676461483,0.7177985948477752,0.936768149882904,0.052830444964871215,0.4775425836443901,0.8,24.583333333333332,0.0,30.0,True
baseline,,0.006105276500337843,0.015157165665103976,0.12491417030710678,0.6992229329347058,-2.321955950828081,0.7310826542491269,0.9383003492433062,0.06458230500582074,0.4916100775202115,0.8,24.791666666666668,0.0,30.0,True
baseline,,0.006105276500337843,0.018234449771164334,0.1250250079609832,0.6941097138179342,-2.276132051738784,0.746242774566474,0.9410404624277456,0.07700231213872843,0.5016887560486794,0.7666666666666667,24.434782608695652,0.0,30.0,True
baseline,,0.006105276500337843,0.021936499593892524,0.12502500871321312,0.6921848228788238,-2.222441757827534,0.7589388696655133,0.941753171856978,0.08898569780853527,0.5481723035375278,0.7666666666666667,24.52173913043478,0.0,30.0,True
