sweep_param,sweep_value,decay_factor,large_uncertainty,success_radius,env_obs_noise,env_odom_noise,occlusion_mode,p_visible,mean_streak_len,bearing0_deg,range0,dt,min_sigma_visible,min_odom_noise,found_viable,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes
baseline,,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.802752668042143,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
env_obs_noise,0.02,0.95,1000.0,0.5,0.02,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.0022135024223027535,0.00020706272838739032,True,0.025018857216746807,0.7802743661860146,-0.08322874973665913,0.6891418563922942,0.819614711033275,0.14132714535901925,0.4097255915403366,0.9,26.27777777777778,0.0,20.0
env_obs_noise,0.03437543855174958,0.95,1000.0,0.5,0.03437543855174958,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.004801202261272809,0.00010000000000000009,True,0.04282743597056229,0.7732396903489169,-1.3519413062815362,0.7010398613518197,0.8561525129982669,0.11668734835355288,0.4025735825300217,0.85,25.88235294117647,0.0,20.0
env_obs_noise,0.05908353878125553,0.95,1000.0,0.5,0.05908353878125553,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.07360752620654469,0.7678399664858007,-2.163619458909768,0.7329351535836177,0.9069965870307167,0.09773856655290103,0.43596072793006896,0.8,25.625,0.0,20.0
env_obs_noise,0.10155112783974812,0.95,1000.0,0.5,0.10155112783974812,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12625776870563887,0.7749486926123671,-2.166392582727455,0.7504187604690117,0.9530988274706867,0.06911993299832497,0.48686467073857786,0.7,24.5,0.0,20.0
env_obs_noise,0.17454322774580636,0.95,1000.0,0.5,0.17454322774580636,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.02258863577297737,0.0008877808989802905,True,0.21727945780562138,0.8061791796470382,-1.5842517252733963,0.6127694859038143,0.8922056384742952,0.13222487562189045,0.48652814887464046,0.75,25.866666666666667,0.0,20.0
env_obs_noise,0.3,0.95,1000.0,0.5,0.3,0.05,markov,0.5,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
env_odom_noise,0.0,0.95,1000.0,0.5,0.1,0.0,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12439556281649107,0.676312853422684,-3.11634086973022,0.7504273504273504,0.9666666666666667,0.07989401709401711,0.42357588931918144,0.8,25.5625,0.0,20.0
env_odom_noise,0.03,0.95,1000.0,0.5,0.1,0.03,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12439556191702146,0.7207037795911782,-2.6705816093659562,0.6689419795221843,0.9308873720136519,0.037370648464163825,0.4204092867672443,0.8,25.625,0.0,20.0
env_odom_noise,0.06,0.95,1000.0,0.5,0.1,0.06,markov,0.5,6.0,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12432926627529771,0.8080500505925384,-1.8539045623622326,0.7282608695652174,0.9289297658862876,0.07113110367892983,0.4958875607699156,0.7,24.571428571428573,0.0,20.0
env_odom_noise,0.09,0.95,1000.0,0.5,0.1,0.09,markov,0.5,6.0,60.0,10.0,0.5,0.004801202261272809,0.01631975090784437,True,0.12383276430525438,0.8974072369720789,-1.7443945383734858,0.618421052631579,0.8939144736842105,0.1248644736842105,0.5340406432747841,0.7,25.285714285714285,0.0,20.0
env_odom_noise,0.12,0.95,1000.0,0.5,0.1,0.12,markov,0.5,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
env_odom_noise,0.15,0.95,1000.0,0.5,0.1,0.15,markov,0.5,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
