sweep_param,sweep_value,sigma_visible,odom_noise,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes,viable
baseline,,0.00010000000000000009,0.00010000000000000009,0.12497971508224924,0.8154234502625837,74.27256402760716,0.14371772805507746,0.23838209982788297,1.2551001721170396,0.3998473256826401,0.9,26.833333333333332,0.0,20.0,False
baseline,,0.00010000000000000009,0.00020706272838739032,0.12497971594969375,0.8154236330424557,59.52621146151298,0.16437177280550774,0.27796901893287435,1.1948592082616178,0.4007222443819046,0.9,26.833333333333332,0.0,20.0,False
baseline,,0.00010000000000000009,0.0004287497348723022,0.12497971595139486,0.8154312875262111,50.81024616294585,0.18932874354561102,0.3270223752151463,1.1208488812392425,0.41015608683228494,0.9,26.833333333333332,0.0,20.0,False
baseline,,0.00010000000000000009,0.0008877808989802905,0.12497971585922162,0.8142305817976753,46.09938450579273,0.23539518900343642,0.38316151202749144,1.0186432989690721,0.4275038655847311,0.9,26.88888888888889,0.0,20.0,False
baseline,,0.00010000000000000009,0.001838263351530691,0.12472451639581159,0.8058904260460937,43.468481575313824,0.2887563884156729,0.4616695059625213,0.8867741056218057,0.4195804938673973,0.85,26.470588235294116,0.0,20.0,False
baseline,,0.00010000000000000009,0.003806358250624933,0.12472451929069185,0.7988918197452014,42.22576548271278,0.35109983079526225,0.5279187817258884,0.7581813874788494,0.43897243819665166,0.85,26.705882352941178,0.0,20.0,False
baseline,,0.00010000000000000009,0.00788154924594252,0.12429889382737092,0.7846709410166718,41.24835661226218,0.43,0.5816666666666667,0.6255333333333333,0.43783502038568256,0.75,25.666666666666668,0.0,20.0,False
baseline,,0.00010000000000000009,0.01631975090784437,0.12393643649869829,0.7721846629411178,40.7444073338493,0.5032679738562091,0.6029411764705882,0.5309908496732026,0.5032781474292278,0.75,26.466666666666665,0.0,20.0,False
baseline,,0.00010000000000000009,0.03379212149580846,0.12369637934108858,0.7503540167299885,40.16404330632595,0.5516693163751988,0.615262321144674,0.47026836248012716,0.6034591928124428,0.7,26.785714285714285,0.0,20.0,False
baseline,,0.00010000000000000009,0.0699708887492028,0.12352997601761771,0.7260309399737792,39.854026089341495,0.5736196319018405,0.6219325153374233,0.44164785276073615,0.7786945082247257,0.6,26.666666666666668,0.0,20.0,False
baseline,,0.00010000000000000009,0.14488363132100487,0.1227355133175511,0.7037373808230769,39.19719132954021,0.5875370919881305,0.629080118694362,0.4205827893175075,1.030563634634018,0.5,26.4,0.0,20.0,False
baseline,,0.00010000000000000009,0.3,0.12224781406971802,0.6889139425747536,38.81156835627454,0.5936139332365747,0.6335268505079826,0.4100592162554426,1.2655986592173576,0.45,26.666666666666668,0.0,20.0,False
baseline,,0.00021690521830457365,0.00010000000000000009,0.12497971508224924,0.8154234502625837,41.664150550027095,0.1721170395869191,0.27969018932874357,1.1853927710843375,0.3998473256826401,0.9,26.833333333333332,0.0,20.0,False
baseline,,0.00021690521830457365,0.00020706272838739032,0.12497971569481463,0.8154237600656925,31.45541940391189,0.1901893287435456,0.31669535283993117,1.1303153184165233,0.4009254738688469,0.9,26.833333333333332,0.0,20.0,False
baseline,,0.00021690521830457365,0.0004287497348723022,0.12497971554020165,0.8154316606097415,24.601496303156704,0.21428571428571427,0.36058519793459554,1.0623290877796903,0.4108324982225895,0.9,26.833333333333332,0.0,20.0,False
baseline,,0.00021690521830457365,0.0008877808989802905,0.12497971564070762,0.8142345823318239,20.564807046898345,0.25859106529209624,0.4183848797250859,0.9602240549828178,0.4283167650923133,0.9,26.88888888888889,0.0,20.0,False
baseline,,0.00021690521830457365,0.001838263351530691,0.12472451692020459,0.8058955309909865,18.318897186321365,0.3091993185689949,0.49233390119250425,0.8356667802385008,0.4203379340469837,0.85,26.470588235294116,0.0,20.0,False
baseline,,0.00021690521830457365,0.003806358250624933,0.12472452018471743,0.7988984524960219,17.29099642200196,0.37140439932318103,0.5583756345177665,0.7074199661590524,0.4399054940789938,0.85,26.705882352941178,0.0,20.0,False
baseline,,0.00021690521830457365,0.00788154924594252,0.12429889398743156,0.7846757979922461,16.698841301813953,0.4508333333333333,0.6108333333333333,0.5755333333333333,0.43854283075779676,0.75,25.666666666666668,0.0,20.0,False
baseline,,0.00021690521830457365,0.01631975090784437,0.12393644028292229,0.7721883117956225,16.490742226702398,0.5236928104575164,0.6315359477124183,0.48197124183006534,0.5037655279040336,0.75,26.466666666666665,0.0,20.0,False
baseline,,0.00021690521830457365,0.03379212149580846,0.1236963814625326,0.7503569095969664,16.342828462430564,0.5715421303656598,0.643879173290938,0.42177869634340215,0.6038385942578316,0.7,26.785714285714285,0.0,20.0,False
baseline,,0.00021690521830457365,0.0699708887492028,0.1235299774368298,0.7260331435263403,16.360464141423368,0.593558282208589,0.6510736196319018,0.3925680981595092,0.778975261747837,0.6,26.666666666666668,0.0,20.0,False
baseline,,0.00021690521830457365,0.14488363132100487,0.12273551350331638,0.7037389196880237,16.24943388471506,0.607566765578635,0.6580118694362018,0.3716213649851632,1.0307351708412171,0.5,26.4,0.0,20.0,False
baseline,,0.00021690521830457365,0.3,0.12224781505886011,0.6889149613341216,16.280879666429016,0.6132075471698113,0.6618287373004355,0.36216371552975324,1.2656881228089332,0.45,26.666666666666668,0.0,20.0,False
baseline,,0.00047047873727754753,0.00010000000000000009,0.12497971508224924,0.8154234502625837,22.4235824037794,0.20912220309810672,0.3493975903614458,1.0786802065404475,0.3998473256826401,0.9,26.833333333333332,0.0,20.0,False
baseline,,0.00047047873727754753,0.00020706272838739032,0.12497971557295832,0.8154239799580824,16.48642293202005,0.22633390705679862,0.3803786574870912,1.0304874354561102,0.40151783600449564,0.9,26.833333333333332,0.0,20.0,False
baseline,,0.00047047873727754753,0.0004287497348723022,0.12497971537981611,0.815433108195411,11.809276597833122,0.2504302925989673,0.423407917383821,0.9633617900172117,0.41243703439831736,0.9,26.833333333333332,0.0,20.0,False
baseline,,0.00047047873727754753,0.0008877808989802905,0.12497971542064855,0.8142430779215623,8.691417162431664,0.28865979381443296,0.47680412371134023,0.8717360824742268,0.4300514832139015,0.9,26.88888888888889,0.0,20.0,False
baseline,,0.00047047873727754753,0.001838263351530691,0.12472451723857264,0.8059063858001869,6.84229869638965,0.33986371379897784,0.5468483816013628,0.7504879045996593,0.4219613790512085,0.85,26.470588235294116,0.0,20.0,False
