sweep_param,sweep_value,decay_factor,large_uncertainty,success_radius,env_obs_noise,env_odom_noise,occlusion_mode,p_visible,mean_streak_len,bearing0_deg,range0,dt,min_sigma_visible,min_odom_noise,found_viable,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes
baseline,,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.802752668042143,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
success_radius,0.2,0.95,1000.0,0.2,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
success_radius,0.2888888888888889,0.95,1000.0,0.2888888888888889,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243292668319405,0.7634333150135141,-1.832675828624787,0.6112956810631229,0.8795681063122923,0.14633621262458474,0.3112746555358171,0.75,25.8,0.0,20.0
success_radius,0.37777777777777777,0.95,1000.0,0.37777777777777777,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.12422025779013009,0.7726027304836959,-1.8255061228911829,0.6115771812080537,0.8800335570469798,0.14558926174496645,0.34800744280219076,0.8,26.25,0.0,20.0
success_radius,0.4666666666666667,0.95,1000.0,0.4666666666666667,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1242952259568747,0.7785134812940722,-1.81091227786518,0.611864406779661,0.8796610169491526,0.1456745762711864,0.4042171198874712,0.8,25.875,0.0,20.0
success_radius,0.5555555555555556,0.95,1000.0,0.5555555555555556,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.12452113992861598,0.7849404162038087,-1.7906492670618253,0.6113013698630136,0.8784246575342466,0.14747397260273976,0.4704704027622938,0.8,25.5,0.0,20.0
success_radius,0.6444444444444445,0.95,1000.0,0.6444444444444445,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.12499573590404263,0.7938280829672157,-1.7825538065121966,0.6137152777777778,0.8802083333333334,0.14327638888888883,0.5601716794073581,0.85,25.823529411764707,0.0,20.0
success_radius,0.7333333333333334,0.95,1000.0,0.7333333333333334,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.12516777298380147,0.8030839144640649,-1.77911656519517,0.6133567662565905,0.8813708260105448,0.14247240773286463,0.641103133559227,0.9,26.166666666666668,0.0,20.0
success_radius,0.8222222222222222,0.95,1000.0,0.8222222222222222,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.12516777298380147,0.8099941150517114,-1.769497872262427,0.6130742049469965,0.8807420494699647,0.1433837455830388,0.6750664293766022,0.9,26.0,0.0,20.0
success_radius,0.9111111111111112,0.95,1000.0,0.9111111111111112,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.12529621367650948,0.8206044795345375,-1.7553100572898863,0.6153846153846154,0.8801431127012522,0.14167227191413234,0.7518825113773346,0.9,25.61111111111111,0.0,20.0
success_radius,1.0,0.95,1000.0,1.0,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.12524383494362396,0.8222826713331787,-1.7487667033073522,0.6153153153153154,0.8801801801801802,0.14170450450450445,0.8073716402053833,0.95,26.105263157894736,0.0,20.0
