sweep_param,sweep_value,sigma_visible,odom_noise,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes,viable
baseline,,0.010000000000000004,0.010000000000000004,0.1221733635279707,0.6383360941081203,-2.60766889567852,0.7535927094286716,0.9579390115667719,0.0743317209954435,0.4509160137176514,0.82,25.01219512195122,0.0,100.0,True
baseline,,0.010000000000000004,0.01053288686727291,0.12211964619401726,0.6377822874065635,-2.6040109025727958,0.758578431372549,0.958858543417367,0.08023697478991598,0.4542338728904724,0.82,25.048780487804876,0.0,100.0,True
baseline,,0.010000000000000004,0.011094170575877008,0.12207953452412211,0.6378727280565147,-2.6000769180069394,0.7616380819040952,0.96044802240112,0.08488610430521526,0.4599620360508561,0.81,24.88888888888889,0.0,100.0,True
baseline,,0.010000000000000004,0.011685364356194041,0.12207953474471436,0.6375937936386534,-2.5945840378695126,0.7648705388383485,0.9611616515045487,0.08883219034289724,0.46769386768341065,0.81,24.901234567901234,0.0,100.0,True
baseline,,0.010000000000000004,0.012308062076665512,0.12211159699442427,0.6366819955214159,-2.5889937624822905,0.7667714884696016,0.9631376659678547,0.09270915443745631,0.4674079902470112,0.8,24.775,0.0,100.0,True
baseline,,0.010000000000000004,0.012963942540888984,0.12216116610915795,0.6364699989503682,-2.5830875484954214,0.768935427574171,0.9642233856893543,0.09595881326352529,0.4714512637257576,0.8,24.8125,0.0,100.0,True
baseline,,0.010000000000000004,0.013654774013701012,0.12205750501349427,0.6361429820066992,-2.57664416113117,0.7737887765772046,0.9653189264552109,0.10190770303241548,0.4745823790132999,0.8,24.8625,0.0,100.0,True
baseline,,0.010000000000000004,0.014382418988449072,0.12208426152917182,0.6362502691432165,-2.569498006175728,0.7764808362369338,0.9662020905923345,0.1054829268292683,0.48333522252738476,0.8,24.875,0.0,100.0,True
baseline,,0.010000000000000004,0.015148839208305167,0.12212223176317125,0.6349061196767514,-2.561980861470816,0.780695652173913,0.9674782608695652,0.11097391304347826,0.48444229491055013,0.8,24.9375,0.0,100.0,True
baseline,,0.010000000000000004,0.015956100955158637,0.12213275963835259,0.6346483389385167,-2.5550115347696263,0.7830844043070511,0.968391802709274,0.11427620701632513,0.4878071876615286,0.8,24.9875,0.0,100.0,True
baseline,,0.010000000000000004,0.016806380620347092,0.12210565924898673,0.6339866181628389,-2.5459388938860235,0.7861602497398543,0.9694762400277489,0.11843648976760324,0.49278001055121423,0.8,25.0375,0.0,100.0,True
baseline,,0.010000000000000004,0.017701970572244374,0.12215322285239691,0.6334448115007922,-2.536911568364797,0.7883616210599238,0.971250432975407,0.12241205403533084,0.4967170105874538,0.8,25.0875,0.0,100.0,True
baseline,,0.010000000000000004,0.018645285336524427,0.12211736967968782,0.6328944847218045,-2.526769915168206,0.7904844290657439,0.9717993079584775,0.12508373702422138,0.503922296538949,0.8,25.125,0.0,100.0,True
baseline,,0.010000000000000004,0.01963886810576342,0.12213622807395973,0.6326826096870627,-2.5165652835646077,0.7929484963705496,0.9726927065330108,0.12844120290356043,0.5110106136649847,0.8,25.1625,0.0,100.0,True
baseline,,0.010000000000000004,0.020685397595930022,0.12213579941555017,0.6316358978213511,-2.5046153795713586,0.7946859903381642,0.9730848861283644,0.13057087646652865,0.5146153851598502,0.79,25.050632911392405,0.0,100.0,True
baseline,,0.010000000000000004,0.021787695268248974,0.12211778641341035,0.6312425556385575,-2.493244777200788,0.7969665632540504,0.9739744915546363,0.1337410548086867,0.5226979719102383,0.79,25.088607594936708,0.0,100.0,True
