sweep_param,sweep_value,sigma_visible,odom_noise,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes,viable
baseline,,0.00010000000000000009,0.00010000000000000009,0.12499573258222743,0.7931124529198517,75.23920168074707,0.14347826086956522,0.23652173913043478,1.2572,0.3993875443935394,1.0,27.75,0.0,20.0,False
baseline,,0.00010000000000000009,0.00020706272838739032,0.12499573324696281,0.7931127149302103,60.19776604591221,0.1634782608695652,0.2747826086956522,1.1989391304347827,0.3999808244407177,1.0,27.75,0.0,20.0,False
baseline,,0.00010000000000000009,0.0004287497348723022,0.12499573305304672,0.7931141168744866,51.32866868673915,0.18695652173913044,0.3234782608695652,1.1267652173913043,0.40852324962615966,1.0,27.75,0.0,20.0,False
baseline,,0.00010000000000000009,0.0008877808989802905,0.12499573296990303,0.7879035437597102,46.37246163258575,0.23269896193771628,0.379757785467128,1.0247432525951556,0.4031115688383579,1.0,27.9,0.0,20.0,False
baseline,,0.00010000000000000009,0.001838263351530691,0.12456154988481406,0.7797482037386181,43.724595163214026,0.2846153846153846,0.4512820512820513,0.901302564102564,0.38155475407838824,1.0,28.25,0.0,20.0,False
baseline,,0.00010000000000000009,0.003806358250624933,0.12456155232196228,0.7747314089248496,42.53796651921162,0.3469387755102041,0.516156462585034,0.7741047619047619,0.4093553655548021,1.0,28.4,0.0,20.0,False
baseline,,0.00010000000000000009,0.00788154924594252,0.12362606062222606,0.7548126310673728,41.220433000517964,0.4219269102990033,0.574750830564784,0.6405222591362126,0.3736894061788917,1.0,29.1,0.0,20.0,False
baseline,,0.00010000000000000009,0.01631975090784437,0.12321786399263011,0.7406728848174718,40.70825882556852,0.49432739059967584,0.5972447325769854,0.5456278768233387,0.4020768739283085,1.0,29.85,0.0,20.0,False
baseline,,0.00010000000000000009,0.03379212149580846,0.12334747678522011,0.7195936324472628,41.29865017450445,0.5371517027863777,0.6021671826625387,0.49788111455108364,0.38736699894070625,1.0,31.3,0.0,20.0,False
baseline,,0.00010000000000000009,0.0699708887492028,0.12239212535175861,0.6935052510869087,40.92094260822028,0.5542521994134897,0.6019061583577713,0.481041642228739,0.42215538322925567,1.0,33.1,0.0,20.0,False
baseline,,0.00010000000000000009,0.14488363132100487,0.12225375515200074,0.6566211702293245,40.54591340205556,0.5654843110504775,0.6077762619372442,0.4639394270122783,0.43047748133540154,1.0,35.65,0.0,20.0,False
baseline,,0.00010000000000000009,0.3,0.12242748851186841,0.6289919165784962,40.798565891131126,0.5705128205128205,0.6115384615384616,0.4551487179487179,0.4451348915696144,1.0,38.0,0.0,20.0,False
baseline,,0.00021690521830457365,0.00010000000000000009,0.12499573258222743,0.7931124529198517,42.32055754889504,0.17130434782608694,0.2782608695652174,1.1876347826086957,0.3993875443935394,1.0,27.75,0.0,20.0,False
baseline,,0.00021690521830457365,0.00020706272838739032,0.12499573298388636,0.7931127986193897,31.88122784933093,0.18782608695652173,0.3139130434782609,1.1354608695652173,0.40013875141739846,1.0,27.75,0.0,20.0,False
baseline,,0.00021690521830457365,0.0004287497348723022,0.12499573251603807,0.7931139884886859,24.884161415530183,0.21130434782608695,0.35739130434782607,1.068504347826087,0.40917583405971525,1.0,27.75,0.0,20.0,False
baseline,,0.00021690521830457365,0.0008877808989802905,0.12499573295079297,0.7879070574138973,20.690967530330926,0.25519031141868515,0.41522491349480967,0.9667847750865051,0.403889168985188,1.0,27.9,0.0,20.0,False
baseline,,0.00021690521830457365,0.001838263351530691,0.12456155046396293,0.7797529931426358,18.410762575330267,0.30427350427350425,0.48205128205128206,0.8508752136752137,0.38229685127735136,1.0,28.25,0.0,20.0,False
baseline,,0.00021690521830457365,0.003806358250624933,0.12456155390972304,0.7747379765180252,17.3975150570034,0.3664965986394558,0.5467687074829932,0.723934693877551,0.4102734986692667,1.0,28.4,0.0,20.0,False
baseline,,0.00021690521830457365,0.00788154924594252,0.12362606115130517,0.7548176014910036,16.644357773095958,0.4426910299003322,0.6038205980066446,0.5906883720930232,0.3743756664916873,1.0,29.1,0.0,20.0,False
baseline,,0.00021690521830457365,0.01631975090784437,0.12321786765565612,0.7396046859789966,16.401142456692824,0.5153721682847896,0.6262135922330098,0.4956142394822006,0.3967865243554115,1.0,29.9,0.0,20.0,False
baseline,,0.00021690521830457365,0.03379212149580846,0.12334747838378132,0.7195965736986426,16.792759044595176,0.5580495356037152,0.631578947368421,0.4475715170278638,0.38774161264300344,1.0,31.3,0.0,20.0,False
baseline,,0.00021690521830457365,0.0699708887492028,0.12239212652403475,0.6935074559600032,16.74593707521022,0.5740469208211144,0.6334310850439883,0.4297219941348973,0.4224336162209511,1.0,33.1,0.0,20.0,False
baseline,,0.00021690521830457365,0.14488363132100487,0.12225375516182432,0.6566224900517744,16.747024518797737,0.5866302864938608,0.6377899045020464,0.4127798090040927,0.43065349459648133,1.0,35.65,0.0,20.0,False
baseline,,0.00021690521830457365,0.3,0.12242748907879986,0.6289929532769776,17.05105504602548,0.5916666666666667,0.6416666666666667,0.4038666666666666,0.44522788003087044,1.0,38.0,0.0,20.0,False
baseline,,0.00047047873727754753,0.00010000000000000009,0.12499573258222743,0.7931124529198517,22.83845287564088,0.20869565217391303,0.35043478260869565,1.0780695652173913,0.3993875443935394,1.0,27.75,0.0,20.0,False
baseline,,0.00047047873727754753,0.00020706272838739032,0.12499573287560795,0.7931127944679612,16.768586871953897,0.22434782608695653,0.3791304347826087,1.0337217391304347,0.40065704956650733,1.0,27.75,0.0,20.0,False
baseline,,0.00047047873727754753,0.0004287497348723022,0.12499573244068132,0.7931141506658388,11.98072956214056,0.24869565217391304,0.4217391304347826,0.9667652173913044,0.41072956919670106,1.0,27.75,0.0,20.0,False
baseline,,0.00047047873727754753,0.0008877808989802905,0.12499573253693058,0.787914497680931,8.753325703027157,0.28633217993079585,0.4731833910034602,0.877684429065744,0.40554935298860073,1.0,27.9,0.0,20.0,False
baseline,,0.00047047873727754753,0.001838263351530691,0.12456155046847728,0.779763296967545,6.862421891929604,0.33589743589743587,0.5393162393162393,0.7619863247863248,0.3838872842490673,1.0,28.25,0.0,20.0,False
baseline,,0.00047047873727754753,0.003806358250624933,0.12456155261537355,0.7747521369173118,5.9911738149245855,0.3937074829931973,0.6062925170068028,0.6372,0.4122620549984276,1.0,28.4,0.0,20.0,False
baseline,,0.00047047873727754753,0.00788154924594252,0.12362606028782298,0.7548284069060126,5.51080281282641,0.4692691029900332,0.6578073089700996,0.5101235880398671,0.3758568661287427,1.0,29.1,0.0,20.0,False
