sweep_param,sweep_value,decay_factor,large_uncertainty,success_radius,env_obs_noise,env_odom_noise,occlusion_mode,p_visible,mean_streak_len,bearing0_deg,range0,dt,min_sigma_visible,min_odom_noise,found_viable,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes
baseline,,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.802752668042143,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
env_odom_noise,0.0,0.95,1000.0,0.5,0.1,0.0,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12439556281649107,0.676312853422684,-3.11634086973022,0.7504273504273504,0.9666666666666667,0.07989401709401711,0.42357588931918144,0.8,25.5625,0.0,20.0
env_odom_noise,0.007894736842105263,0.95,1000.0,0.5,0.1,0.007894736842105263,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.1243955620206734,0.6752327839954538,-3.1142322851796225,0.7401709401709402,0.9700854700854701,0.0730564102564103,0.42423865795135496,0.8,25.5625,0.0,20.0
env_odom_noise,0.015789473684210527,0.95,1000.0,0.5,0.1,0.015789473684210527,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12439556249018922,0.6863935194580699,-3.0291165718567847,0.7136752136752137,0.9564102564102565,0.03288547008547016,0.42554164715111253,0.8,25.5625,0.0,20.0
env_odom_noise,0.02368421052631579,0.95,1000.0,0.5,0.1,0.02368421052631579,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12439556216513517,0.7032978195515931,-2.860230012941519,0.6953924914675768,0.9368600682593856,0.030332423208191184,0.4174458600580692,0.8,25.625,0.0,20.0
env_odom_noise,0.031578947368421054,0.95,1000.0,0.5,0.1,0.031578947368421054,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12439556401345213,0.725331582595534,-2.6151097356482507,0.6629692832764505,0.9266211604095563,0.04760955631399311,0.42124226316809654,0.8,25.625,0.0,20.0
env_odom_noise,0.039473684210526314,0.95,1000.0,0.5,0.1,0.039473684210526314,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12439556266127517,0.7474852367855436,-2.29270825206854,0.6439522998296422,0.9011925042589438,0.09205519591141398,0.4145117003470659,0.8,25.6875,0.0,20.0
env_odom_noise,0.04736842105263158,0.95,1000.0,0.5,0.1,0.04736842105263158,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12439556230727257,0.7719484893180815,-1.8825138205918888,0.6113945578231292,0.8818027210884354,0.14400272108843537,0.4201178513467312,0.8,25.75,0.0,20.0
env_odom_noise,0.05526315789473685,0.95,1000.0,0.5,0.1,0.05526315789473685,markov,0.5,6.0,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12432926700615866,0.7925369540534194,-2.0164086175811193,0.7420435510887772,0.9430485762144054,0.07079497487437181,0.4905581086874008,0.7,24.5,0.0,20.0
env_odom_noise,0.06315789473684211,0.95,1000.0,0.5,0.1,0.06315789473684211,markov,0.5,6.0,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12432926621880394,0.8193362506417028,-1.7397859550090409,0.7224080267558528,0.9188963210702341,0.07531170568561874,0.498533820733428,0.7,24.571428571428573,0.0,20.0
