sweep_param,sweep_value,sigma_visible,odom_noise,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes,viable
baseline,,0.00010000000000000009,0.00010000000000000009,0.12277364729739673,0.7730119382415124,70.71950417006799,0.14814814814814814,0.2202729044834308,1.2687789473684212,0.34615280777215957,1.0,24.65,0.0,20.0,False
baseline,,0.00010000000000000009,0.00020706272838739032,0.12277364734704956,0.7730133813202059,59.77067619168504,0.1608187134502924,0.23489278752436646,1.241488499025341,0.34647931531071663,1.0,24.65,0.0,20.0,False
baseline,,0.00010000000000000009,0.0004287497348723022,0.12277364612594677,0.7730365153358696,52.9951515208027,0.1793372319688109,0.2787524366471735,1.1791103313840154,0.3507459446787834,1.0,24.65,0.0,20.0,False
baseline,,0.00010000000000000009,0.0008877808989802905,0.12277364828604617,0.7702176607170519,49.17036614008117,0.19941634241245138,0.33073929961089493,1.1070443579766536,0.35337619185447694,1.0,24.7,0.0,20.0,False
baseline,,0.00010000000000000009,0.001838263351530691,0.12238418917586733,0.7678184139868743,47.13472275960654,0.2451550387596899,0.4021317829457364,0.9899131782945737,0.36112622246146203,1.0,24.8,0.0,20.0,False
baseline,,0.00010000000000000009,0.003806358250624933,0.12220973768426205,0.7628328630779161,46.0167016890179,0.3,0.4634615384615385,0.8737384615384616,0.37660628780722616,1.0,25.0,0.0,20.0,False
baseline,,0.00010000000000000009,0.00788154924594252,0.12214529632877102,0.7565564156965355,45.49186002279239,0.37213740458015265,0.5076335877862596,0.7574290076335878,0.3955440491437912,0.95,24.473684210526315,0.0,20.0,False
baseline,,0.00010000000000000009,0.01631975090784437,0.12269552358411707,0.7504645686387658,46.14262834984406,0.4331450094161959,0.5263653483992468,0.6776896421845573,0.4340552851557732,0.9,24.055555555555557,0.0,20.0,False
baseline,,0.00010000000000000009,0.03379212149580846,0.12258642542879787,0.721544759225962,45.170883697581985,0.4807692307692308,0.5467032967032966,0.6097274725274726,0.4600856713950634,0.9,24.88888888888889,0.0,20.0,False
baseline,,0.00010000000000000009,0.0699708887492028,0.12361351154956055,0.6844282860964004,44.9449609579957,0.5122591943957968,0.5595446584938704,0.5653961471103328,0.5351685896515846,0.85,25.529411764705884,0.0,20.0,False
baseline,,0.00010000000000000009,0.14488363132100487,0.12365977001780677,0.6583090131697668,44.65952876788939,0.5231788079470199,0.5604304635761589,0.5535907284768212,0.6021674618124961,0.8,26.75,0.0,20.0,False
baseline,,0.00010000000000000009,0.3,0.12318488293304579,0.6599655491801328,45.28633851484087,0.5137540453074434,0.551779935275081,0.5716660194174756,0.6958662375807763,0.75,26.866666666666667,0.0,20.0,False
baseline,,0.00020706272838739032,0.00010000000000000009,0.12277364729739673,0.7730119382415124,38.34475579408087,0.1617933723196881,0.260233918128655,1.215172709551657,0.34615280777215957,1.0,24.65,0.0,20.0,False
baseline,,0.00020706272838739032,0.00020706272838739032,0.12277364733375229,0.7730139015131423,30.98270645782266,0.17348927875243664,0.27680311890838205,1.1869076023391814,0.34653383642435076,1.0,24.65,0.0,20.0,False
baseline,,0.00020706272838739032,0.0004287497348723022,0.12277364692095415,0.7730380255059915,25.809495748614896,0.19200779727095516,0.3226120857699805,1.1225801169590643,0.3510905556380749,1.0,24.65,0.0,20.0,False
baseline,,0.00020706272838739032,0.0008877808989802905,0.1227736472904283,0.7702207467838974,22.61157924182108,0.21011673151750973,0.36964980544747084,1.0574334630350193,0.35400032848119733,1.0,24.7,0.0,20.0,False
baseline,,0.00020706272838739032,0.001838263351530691,0.1223841866941591,0.7678223680798891,20.849596911049378,0.25775193798449614,0.437015503875969,0.9424325581395349,0.3617590770125389,1.0,24.8,0.0,20.0,False
baseline,,0.00020706272838739032,0.003806358250624933,0.12220973752214834,0.7628375995690843,19.95218013667702,0.31153846153846154,0.49903846153846154,0.8266230769230769,0.3772738166153431,1.0,25.0,0.0,20.0,False
baseline,,0.00020706272838739032,0.00788154924594252,0.12214529407769074,0.7565594198464258,19.58422481704762,0.383587786259542,0.5419847328244275,0.7116274809160306,0.39602476432919503,0.95,24.473684210526315,0.0,20.0,False
baseline,,0.00020706272838739032,0.01631975090784437,0.1226955224089986,0.7504668362554276,19.907699020172107,0.4453860640301318,0.5602636534839924,0.6315502824858757,0.43438859209418296,0.9,24.055555555555557,0.0,20.0,False
