sweep_param,sweep_value,decay_factor,large_uncertainty,success_radius,env_obs_noise,env_odom_noise,occlusion_mode,p_visible,mean_streak_len,bearing0_deg,range0,dt,min_sigma_visible,min_odom_noise,found_viable,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes
baseline,,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.802752668042143,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
decay_factor,0.8,0.8,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.802752668042143,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
decay_factor,0.84975,0.84975,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.802752668042143,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
decay_factor,0.8995,0.8995,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.802752668042143,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
decay_factor,0.94925,0.94925,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.802752668042143,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
decay_factor,0.999,0.999,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.802752668042143,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
large_uncertainty,49.99999999999999,0.95,49.99999999999999,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12432926484549288,0.7742692436477898,-2.315532350608217,0.7470686767169179,0.9522613065326633,0.06660737018425467,0.48651849702000616,0.7,24.5,0.0,20.0
large_uncertainty,158.11388300841898,0.95,158.11388300841898,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.895253932049201,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
large_uncertainty,499.99999999999983,0.95,499.99999999999983,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.838406000294138,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
large_uncertainty,1581.13883008419,0.95,1581.13883008419,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.7789259134839812,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
large_uncertainty,5000.000000000004,0.95,5000.000000000004,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.7186134627718896,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
success_radius,0.2,0.95,1000.0,0.2,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
success_radius,0.4,0.95,1000.0,0.4,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.12437534458531818,0.7726027304836959,-1.8214113227222979,0.6109243697478992,0.8798319327731092,0.14644369747899155,0.3593620888888836,0.8,26.1875,0.0,20.0
success_radius,0.6000000000000001,0.95,1000.0,0.6000000000000001,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.12452113992861598,0.7921241494981038,-1.7932369587518178,0.6137931034482759,0.8801724137931034,0.14323448275862072,0.5158409409224987,0.85,26.058823529411764,0.0,20.0
success_radius,0.8,0.95,1000.0,0.8,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.12516777298380147,0.8077952455467152,-1.7719429314864004,0.6128747795414462,0.8809523809523809,0.14337283950617286,0.6637926608324051,0.9,26.055555555555557,0.0,20.0
success_radius,1.0,0.95,1000.0,1.0,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.12524383494362396,0.8222826713331787,-1.7487667033073522,0.6153153153153154,0.8801801801801802,0.14170450450450445,0.8073716402053833,0.95,26.105263157894736,0.0,20.0
env_obs_noise,0.02,0.95,1000.0,0.5,0.02,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.0022135024223027535,0.00020706272838739032,True,0.025018857216746807,0.7802743661860146,-0.08322874973665913,0.6891418563922942,0.819614711033275,0.14132714535901925,0.4097255915403366,0.9,26.27777777777778,0.0,20.0
env_obs_noise,0.0393597934253086,0.95,1000.0,0.5,0.0393597934253086,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.004801202261272809,0.00010000000000000009,True,0.04903731601260074,0.7740608345516455,-1.3113272802381823,0.6889081455805892,0.8535528596187175,0.10715528596187174,0.4030989795923233,0.85,25.88235294117647,0.0,20.0
env_obs_noise,0.07745966692414832,0.95,1000.0,0.5,0.07745966692414832,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.09650088509134296,0.7738299013787595,-1.998998065147478,0.6697952218430034,0.9010238907849829,0.06638088737201364,0.4393562149256468,0.8,25.625,0.0,20.0
env_obs_noise,0.15243982444638435,0.95,1000.0,0.5,0.15243982444638435,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.18976411868062973,0.7988107442399768,-1.727458776649318,0.6433333333333333,0.9083333333333333,0.08553333333333335,0.49374856799840927,0.75,25.666666666666668,0.0,20.0
env_obs_noise,0.3,0.95,1000.0,0.5,0.3,0.05,markov,0.5,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
env_odom_noise,0.0,0.95,1000.0,0.5,0.1,0.0,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12439556281649107,0.676312853422684,-3.11634086973022,0.7504273504273504,0.9666666666666667,0.07989401709401711,0.42357588931918144,0.8,25.5625,0.0,20.0
env_odom_noise,0.0375,0.95,1000.0,0.5,0.1,0.0375,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12439556329947866,0.7412452645101092,-2.3815389623083107,0.6507666098807495,0.9080068143100511,0.07842657580919932,0.4132713347673416,0.8,25.6875,0.0,20.0
